Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Connaught Place,28.6313827,77.2197924,Costa Coffee,28.63173492,77.21840646,Café
Connaught Place,28.6313827,77.2197924,Smoke House Deli,28.633764,77.221405,Deli / Bodega
Connaught Place,28.6313827,77.2197924,McDonald’s,28.63002569,77.21992786,Fast Food Restaurant
Connaught Place,28.6313827,77.2197924,Panchayat Paan Parlour,28.63407326,77.22264499,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Kwality Restaurant,28.62974365,77.2174313,Indian Restaurant
Connaught Place,28.6313827,77.2197924,McDonald's,28.63236574,77.21648256,Fast Food Restaurant
Connaught Place,28.6313827,77.2197924,"Zen Chinese, Connaught Place",28.63365782,77.21949493,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,Anand Biryani House,28.62913639,77.22012996,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Garam Dharam,28.63184213,77.22275212,North Indian Restaurant
Connaught Place,28.6313827,77.2197924,Shake square,28.63340597,77.21875906,Café
Connaught Place,28.6313827,77.2197924,Haldiram's,28.63422999,77.22233494,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Ignis,28.63422723,77.21880057,Asian Restaurant
Connaught Place,28.6313827,77.2197924,McDonald's,28.63181065,77.21968646,Fast Food Restaurant
Connaught Place,28.6313827,77.2197924,Comesum,28.632658,77.21968842,Snack Place
Connaught Place,28.6313827,77.2197924,Veda Restaurant,28.63521021,77.21807927,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Domino's Pizza,28.63014635,77.219728,Pizza Place
Connaught Place,28.6313827,77.2197924,Japanese Fuji Restaurant,28.63309875,77.2221218,Japanese Restaurant
Connaught Place,28.6313827,77.2197924,Side Wok,28.63290716,77.21633721,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,Kake-Da-Hotel,28.63471071,77.22201573,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Punjabi by Nature Quickie,28.63086349,77.21977972,North Indian Restaurant
Connaught Place,28.6313827,77.2197924,Fa Yian,28.63279328,77.21718821,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,Caffe Tonino,28.63483811,77.21954257,Italian Restaurant
Connaught Place,28.6313827,77.2197924,Depauls Cold Coffee,28.62903388,77.21866617,Café
Connaught Place,28.6313827,77.2197924,McDonald's,28.63408191,77.21920575,Fast Food Restaurant
Connaught Place,28.6313827,77.2197924,Indian Coffee House,28.63075593,77.21605435,Café
Connaught Place,28.6313827,77.2197924,Domino's Pizza,28.63330076,77.22279586,Pizza Place
Connaught Place,28.6313827,77.2197924,Pizza Hut,28.6276354,77.21949904,Pizza Place
Connaught Place,28.6313827,77.2197924,Minar,28.63475115,77.22197133,Indian Restaurant
Connaught Place,28.6313827,77.2197924,FIRE,28.62873718,77.21649768,Indian Restaurant
Connaught Place,28.6313827,77.2197924,MIST,28.62872006,77.21629222,Italian Restaurant
Connaught Place,28.6313827,77.2197924,Gola Sizzlers,28.63518246,77.2198599,BBQ Joint
Connaught Place,28.6313827,77.2197924,Biryani Paradise,28.631388,77.216448,Hyderabadi Restaurant
Connaught Place,28.6313827,77.2197924,Lady Baga,28.631674,77.21623,Restaurant
Connaught Place,28.6313827,77.2197924,Caffe9,28.63279916,77.21655943,Indian Restaurant
Connaught Place,28.6313827,77.2197924,G,28.63127367,77.21608784,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Fifty9,28.63380618,77.21719383,Restaurant
Connaught Place,28.6313827,77.2197924,SIDEWOK,28.63290565,77.21640224,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,The Great Kabab Factory,28.63382587,77.21708716,Indian Restaurant
Connaught Place,28.6313827,77.2197924,China Garden,28.63434232,77.21739032,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,"Hira Sweets, CP",28.63515747,77.21998961,Diner
Connaught Place,28.6313827,77.2197924,The Darzi Bar & Kitchen,28.635185,77.219436,Multicuisine Indian Restaurant
Connaught Place,28.6313827,77.2197924,Pioneer's Flavour of China,28.63518572,77.21940279,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,Zizo,28.63521989,77.22000084,Falafel Restaurant
Connaught Place,28.6313827,77.2197924,Sandoz CP,28.632894,77.215702,North Indian Restaurant
Connaught Place,28.6313827,77.2197924,Flavours Of China,28.634668,77.217381,Chinese Restaurant
Gole Market,28.63371865,77.20562662,Kaleva,28.6332986,77.20848838,Snack Place
Gole Market,28.63371865,77.20562662,Sakura,28.63130957,77.20810381,Japanese Restaurant
Gole Market,28.63371865,77.20562662,Nirula's,28.63370598,77.20598756,Fast Food Restaurant
Gole Market,28.63371865,77.20562662,Sarvam Safari,28.63202765,77.20744735,Indian Restaurant
Gole Market,28.63371865,77.20562662,Bangla Pastry Shop,28.63342203,77.2087387,Bakery
Gole Market,28.63371865,77.20562662,Zing,28.63156771,77.20782914,Café
Gole Market,28.63371865,77.20562662,Chutney,28.63136684,77.20805372,Indian Restaurant
Gole Market,28.63371865,77.20562662,Bangla Sweet & Spice restaurant,28.633858,77.20947,Bengali Restaurant
INA Colony,28.5794721,77.2124508,Dosa Junction,28.5771748,77.21052971,South Indian Restaurant
INA Colony,28.5794721,77.2124508,Gol Gappe Chaat Corner,28.5819,77.21596,Food Stand
Khan Market,28.6001354,77.22649064,The Big Chill Cafe,28.6006863,77.22763622,Italian Restaurant
Khan Market,28.6001354,77.22649064,SODABOTTLEOPENERWALA,28.60014087,77.22627304,Irani Cafe
Khan Market,28.6001354,77.22649064,L'Opera,28.59978438,77.22614412,Café
Khan Market,28.6001354,77.22649064,Smoke House Deli,28.59985009,77.22689969,French Restaurant
Khan Market,28.6001354,77.22649064,Perch,28.5999874,77.22634987,Café
Khan Market,28.6001354,77.22649064,Khan Chacha,28.60061825,77.22723729,Indian Restaurant
Khan Market,28.6001354,77.22649064,La Vie,28.60044861,77.2269516,Mediterranean Restaurant
Khan Market,28.6001354,77.22649064,Mamagoto,28.60046945,77.22727179,Chinese Restaurant
Khan Market,28.6001354,77.22649064,Yellow Brick Road,28.60188444,77.229298,Restaurant
Khan Market,28.6001354,77.22649064,The Blue Door Cafe,28.60006783,77.22658165,Café
Khan Market,28.6001354,77.22649064,Cafe Turtle,28.6001592,77.22723799,Café
Khan Market,28.6001354,77.22649064,Smokeys BBQ & Grill,28.600465,77.22713597,BBQ Joint
Khan Market,28.6001354,77.22649064,Town Hall,28.60018042,77.226954,Asian Restaurant
Khan Market,28.6001354,77.22649064,The Chatter House,28.60029774,77.22706055,Café
Khan Market,28.6001354,77.22649064,Wok In The Clouds,28.60050188,77.22722974,Indian Restaurant
Khan Market,28.6001354,77.22649064,La Bodega,28.60027598,77.22765266,Mexican Restaurant
Khan Market,28.6001354,77.22649064,The Coffee Bean And Tea Leaf,28.60019072,77.22678658,Café
Khan Market,28.6001354,77.22649064,Choko La,28.60013879,77.22644667,Food
Khan Market,28.6001354,77.22649064,Sidewok,28.60076567,77.22701345,Asian Restaurant
Khan Market,28.6001354,77.22649064,Subway,28.59958445,77.22618511,Sandwich Place
Khan Market,28.6001354,77.22649064,Latitude 28,28.59958792,77.22641171,Café
Khan Market,28.6001354,77.22649064,McDonald's,28.60060793,77.22778777,Fast Food Restaurant
Khan Market,28.6001354,77.22649064,Cafe Coffee Day,28.59980835,77.226753,Café
Khan Market,28.6001354,77.22649064,Barcelos,28.60037957,77.22700686,Portuguese Restaurant
Khan Market,28.6001354,77.22649064,Sidewok (With Liquor),28.59981396,77.22695634,Chinese Restaurant
Khan Market,28.6001354,77.22649064,The Kitchen,28.59985086,77.22638309,Eastern European Restaurant
Khan Market,28.6001354,77.22649064,Taj Ambassador,28.60087034,77.22829799,Indian Restaurant
Khan Market,28.6001354,77.22649064,mr. choy,28.59990635,77.22641181,Chinese Restaurant
Khan Market,28.6001354,77.22649064,Watermelon,28.5996778,77.22621543,American Restaurant
Khan Market,28.6001354,77.22649064,The Artful Baker,28.59983583,77.22671495,Bakery
Khan Market,28.6001354,77.22649064,Sly Granny,28.600063,77.226173,Gastropub
Khan Market,28.6001354,77.22649064,Yum Yum Cha,28.600058,77.22639,Japanese Restaurant
Khan Market,28.6001354,77.22649064,Larry's China,28.60176088,77.22919615,Chinese Restaurant
Pragati Maidan,28.6234593,77.2425121,Aahar,28.62143491,77.24197746,Indian Restaurant
Brij Puri,28.7025095,77.2737771,Anand Sagar Sweets,28.702434,77.272368,North Indian Restaurant
Brij Puri,28.7025095,77.2737771,waho tenzin restaurant,28.70254709,77.2705718,Dumpling Restaurant
East Vinod Nagar,28.6227661,77.3075035,Kenz Kitchen,28.624008,77.311764,Diner
